Date,Time,Alert ID,Alert Name,Severity,Source Host,Protocol/Port,Destination IP,Executive Summary,Status,Category,Action Taken
01/13/2025,10:18:00 PM,927367755644147228,Anomalous SSH Activity,Low,192.168.14.89,ICMP port 80,192.168.1.234,Host 192.168.14.89 shows unauthorized access attempt communication with 192.168.1.234 over ICMP port 80. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated
01/30/2025,03:28:00 AM,843812304865614494,Data Exfiltration Pattern,High,192.168.15.219,TCP port 1492,192.168.19.49,Host 192.168.15.219 shows suspicious dns query communication with 192.168.19.49 over TCP port 1492. ,Malicious,False Positive,Closed
01/03/2025,01:53:00 AM,999000762321159607,Data Exfiltration Pattern,Low,192.168.1.36,UDP port 80,192.168.11.8,Host 192.168.1.36 shows anomalous ssh activity communication with 192.168.11.8 over UDP port 80. ,Legitimate,Policy Violation,Escalated
01/05/2025,12:10:00 PM,294341590729420078,UDA - Trojan Horse Traffic,Medium,192.168.3.219,UDP port 8080,192.168.9.19,Host 192.168.3.219 shows brute force attempt communication with 192.168.9.19 over UDP port 8080. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
01/22/2025,01:47:00 PM,485584743659817713,UDA - Trojan Horse Traffic,Low,192.168.4.65,TCP port 53,192.168.23.60,Host 192.168.4.65 shows suspicious dns query communication with 192.168.23.60 over TCP port 53. ,Legitimate,Benign Activity,No Action Required
01/17/2025,06:11:00 PM,321967894101392128,Data Exfiltration Pattern,Critical,192.168.22.65,ICMP port 8080,192.168.6.188,Host 192.168.22.65 shows anomalous ssh activity communication with 192.168.6.188 over ICMP port 8080. ,Malicious,Policy Violation,Escalated
01/08/2025,05:29:00 PM,953758963111515623,Brute Force Attempt,Low,192.168.5.185,UDP port 22,192.168.28.231,Host 192.168.5.185 shows brute force attempt communication with 192.168.28.231 over UDP port 22. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated
01/19/2025,06:41:00 AM,321281246120681142,Anomalous SSH Activity,Medium,192.168.17.216,ICMP port 5900,192.168.28.208,Host 192.168.17.216 shows port scan detected communication with 192.168.28.208 over ICMP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/27/2025,06:08:00 AM,345998060723586500,Data Exfiltration Pattern,Medium,192.168.2.113,TCP port 80,192.168.13.122,Host 192.168.2.113 shows data exfiltration pattern communication with 192.168.13.122 over TCP port 80. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked
01/14/2025,03:41:00 PM,281402225878892716,Data Exfiltration Pattern,High,192.168.29.55,TCP port 443,192.168.15.239,Host 192.168.29.55 shows suspicious dns query communication with 192.168.15.239 over TCP port 443. ,Malicious,False Positive,Closed
01/27/2025,03:54:00 AM,772432870138140536,Brute Force Attempt,Critical,192.168.6.212,ICMP port 8080,192.168.14.116,Host 192.168.6.212 shows port scan detected communication with 192.168.14.116 over ICMP port 8080. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/07/2025,06:26:00 PM,372856365986464477,Port Scan Detected,High,192.168.11.89,UDP port 5900,192.168.4.246,Host 192.168.11.89 shows brute force attempt communication with 192.168.4.246 over UDP port 5900. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
02/01/2025,11:06:00 PM,782556411651008798,Suspicious DNS Query,High,192.168.22.126,ICMP port 53,192.168.24.54,Host 192.168.22.126 shows malware beaconing communication with 192.168.24.54 over ICMP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated
01/10/2025,03:24:00 AM,135030315318480059,Brute Force Attempt,Low,192.168.19.178,UDP port 1492,192.168.17.193,Host 192.168.19.178 shows unauthorized access attempt communication with 192.168.17.193 over UDP port 1492. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated
01/16/2025,11:39:00 PM,819439877132107057,UDA - Trojan Horse Traffic,Medium,192.168.6.20,TCP port 5900,192.168.10.167,Host 192.168.6.20 shows brute force attempt communication with 192.168.10.167 over TCP port 5900. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
02/04/2025,03:05:00 PM,863726784051608641,Anomalous SSH Activity,Low,192.168.11.125,TCP port 53,192.168.2.240,Host 192.168.11.125 shows data exfiltration pattern communication with 192.168.2.240 over TCP port 53. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked
01/31/2025,07:26:00 AM,177384882224491041,Data Exfiltration Pattern,Critical,192.168.10.182,TCP port 1492,192.168.11.124,Host 192.168.10.182 shows uda - trojan horse traffic communication with 192.168.11.124 over TCP port 1492. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/14/2025,02:58:00 AM,785564432222310059,Anomalous SSH Activity,Critical,192.168.24.101,UDP port 22,192.168.27.230,Host 192.168.24.101 shows unauthorized access attempt communication with 192.168.27.230 over UDP port 22. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated
01/15/2025,12:03:00 AM,251034165063588692,Malware Beaconing,Critical,192.168.10.42,ICMP port 5900,192.168.11.174,Host 192.168.10.42 shows anomalous ssh activity communication with 192.168.11.174 over ICMP port 5900. ,Malicious,Policy Violation,Escalated
01/01/2025,04:02:00 PM,763280821418666110,Data Exfiltration Pattern,High,192.168.30.225,ICMP port 3389,192.168.9.102,Host 192.168.30.225 shows suspicious dns query communication with 192.168.9.102 over ICMP port 3389. ,Malicious,False Positive,Closed
01/03/2025,03:29:00 PM,516904188942371722,Unauthorized Access Attempt,Medium,192.168.10.115,ICMP port 5900,192.168.30.13,Host 192.168.10.115 shows brute force attempt communication with 192.168.30.13 over ICMP port 5900. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
01/22/2025,04:48:00 PM,442232203863659175,Data Exfiltration Pattern,Critical,192.168.5.56,ICMP port 443,192.168.21.194,Host 192.168.5.56 shows port scan detected communication with 192.168.21.194 over ICMP port 443. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/01/2025,08:02:00 AM,756210002988814199,Malware Beaconing,Medium,192.168.19.199,UDP port 443,192.168.25.124,Host 192.168.19.199 shows suspicious dns query communication with 192.168.25.124 over UDP port 443. ,Malicious,False Positive,Closed
01/14/2025,12:27:00 AM,918677911140829743,Malware Beaconing,High,192.168.17.248,UDP port 5900,192.168.23.97,Host 192.168.17.248 shows uda - trojan horse traffic communication with 192.168.23.97 over UDP port 5900. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/24/2025,12:44:00 PM,443434591473095435,Port Scan Detected,High,192.168.22.196,UDP port 53,192.168.30.167,Host 192.168.22.196 shows anomalous ssh activity communication with 192.168.30.167 over UDP port 53. ,Malicious,Policy Violation,Escalated
01/27/2025,11:46:00 PM,745782638274612872,Port Scan Detected,Low,192.168.19.219,UDP port 3389,192.168.13.126,Host 192.168.19.219 shows brute force attempt communication with 192.168.13.126 over UDP port 3389. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated
01/19/2025,07:50:00 PM,172679247711171935,Anomalous SSH Activity,High,192.168.9.142,UDP port 5900,192.168.15.83,Host 192.168.9.142 shows port scan detected communication with 192.168.15.83 over UDP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/08/2025,10:37:00 PM,712434100010501797,Unauthorized Access Attempt,High,192.168.16.209,UDP port 8080,192.168.11.151,Host 192.168.16.209 shows suspicious dns query communication with 192.168.11.151 over UDP port 8080. ,Malicious,False Positive,Closed
01/01/2025,01:27:00 AM,892722458502445298,Port Scan Detected,Critical,192.168.1.249,TCP port 1492,192.168.3.209,Host 192.168.1.249 shows suspicious dns query communication with 192.168.3.209 over TCP port 1492. ,Malicious,False Positive,Closed
01/04/2025,12:34:00 PM,879795805918348834,UDA - Trojan Horse Traffic,Critical,192.168.23.55,ICMP port 53,192.168.30.20,Host 192.168.23.55 shows malware beaconing communication with 192.168.30.20 over ICMP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/30/2025,07:20:00 AM,780990279848014164,Anomalous SSH Activity,Low,192.168.27.50,ICMP port 1492,192.168.18.147,Host 192.168.27.50 shows brute force attempt communication with 192.168.18.147 over ICMP port 1492. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated
01/19/2025,04:03:00 AM,802627974933082871,Data Exfiltration Pattern,High,192.168.29.140,UDP port 22,192.168.9.238,Host 192.168.29.140 shows anomalous ssh activity communication with 192.168.9.238 over UDP port 22. ,Malicious,Policy Violation,Escalated
01/26/2025,05:43:00 AM,506731649532666490,Unauthorized Access Attempt,Critical,192.168.5.172,ICMP port 53,192.168.8.197,Host 192.168.5.172 shows unauthorized access attempt communication with 192.168.8.197 over ICMP port 53. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated
02/01/2025,12:33:00 PM,241656543505864576,Brute Force Attempt,Medium,192.168.4.26,ICMP port 53,192.168.28.221,Host 192.168.4.26 shows brute force attempt communication with 192.168.28.221 over ICMP port 53. Brute force behavior observed.,Malicious,Reconnaissance,Investigated
01/03/2025,12:26:00 PM,891468651860894087,Suspicious DNS Query,Low,192.168.3.63,TCP port 80,192.168.29.205,Host 192.168.3.63 shows brute force attempt communication with 192.168.29.205 over TCP port 80. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated
01/15/2025,07:33:00 PM,504746371084944393,Data Exfiltration Pattern,Critical,192.168.13.72,TCP port 5900,192.168.29.127,Host 192.168.13.72 shows port scan detected communication with 192.168.29.127 over TCP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
02/01/2025,09:17:00 AM,668580961099563424,Unauthorized Access Attempt,High,192.168.6.166,UDP port 8080,192.168.17.26,Host 192.168.6.166 shows port scan detected communication with 192.168.17.26 over UDP port 8080. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated
01/30/2025,02:22:00 AM,421288798916192558,Unauthorized Access Attempt,Low,192.168.23.189,TCP port 22,192.168.18.247,Host 192.168.23.189 shows unauthorized access attempt communication with 192.168.18.247 over TCP port 22. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated
01/05/2025,03:21:00 AM,763683819035634945,Data Exfiltration Pattern,High,192.168.1.84,TCP port 3389,192.168.6.13,Host 192.168.1.84 shows data exfiltration pattern communication with 192.168.6.13 over TCP port 3389. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated
01/27/2025,11:04:00 AM,918804272604525210,Anomalous SSH Activity,Medium,192.168.13.144,UDP port 5900,192.168.8.30,Host 192.168.13.144 shows anomalous ssh activity communication with 192.168.8.30 over UDP port 5900. ,Malicious,Policy Violation,Escalated
01/14/2025,07:37:00 PM,814665423886209250,Data Exfiltration Pattern,High,192.168.16.247,ICMP port 3389,192.168.3.102,Host 192.168.16.247 shows suspicious dns query communication with 192.168.3.102 over ICMP port 3389. ,Malicious,False Positive,Closed
01/03/2025,01:27:00 PM,744983536211547955,Port Scan Detected,High,192.168.26.115,ICMP port 22,192.168.26.142,Host 192.168.26.115 shows uda - trojan horse traffic communication with 192.168.26.142 over ICMP port 22. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
01/02/2025,04:29:00 PM,110015109297805775,Suspicious DNS Query,Low,192.168.16.43,ICMP port 3389,192.168.5.57,Host 192.168.16.43 shows malware beaconing communication with 192.168.5.57 over ICMP port 3389. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated
01/10/2025,02:58:00 PM,341152869803732305,Unauthorized Access Attempt,High,192.168.4.180,TCP port 443,192.168.2.254,Host 192.168.4.180 shows uda - trojan horse traffic communication with 192.168.2.254 over TCP port 443. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked
02/01/2025,04:44:00 AM,533803964527654022,Malware Beaconing,Critical,192.168.16.102,ICMP port 22,192.168.9.53,Host 192.168.16.102 shows anomalous ssh activity communication with 192.168.9.53 over ICMP port 22. ,Malicious,Policy Violation,Escalated
01/10/2025,08:54:00 AM,777107573144194398,Port Scan Detected,Medium,192.168.6.202,TCP port 53,192.168.9.156,Host 192.168.6.202 shows anomalous ssh activity communication with 192.168.9.156 over TCP port 53. ,Malicious,Policy Violation,Escalated
01/18/2025,11:08:00 PM,130449533518333796,Suspicious DNS Query,High,192.168.16.217,TCP port 53,192.168.27.29,Host 192.168.16.217 shows uda - trojan horse traffic communication with 192.168.27.29 over TCP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated
01/09/2025,09:02:00 PM,846932986163228650,Unauthorized Access Attempt,Medium,192.168.5.96,TCP port 80,192.168.10.26,Host 192.168.5.96 shows anomalous ssh activity communication with 192.168.10.26 over TCP port 80. ,Malicious,Policy Violation,Escalated
