Alert Name,Severity,Executive Summary,Status,Category,Action Taken,Hour,Minute,DayOfWeek,IsWeekend,Protocol,Port,Src_Private,Dst_Private,Same_Subnet,keyword_count,has_malware_kw,has_recon_kw,has_policy_kw,severity_ordinal,port_num,high_risk_port,off_hours,flow_count,bytes_transferred,duration_sec
Unauthorized Access Attempt,Critical,Host 192.168.28.197 shows unauthorized access attempt communication with 192.168.18.225 over UDP port 3389. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated,3,18,4,0,UDP,3389,1,1,0,3,0,0,1,3,3389,1,1,0,0,0
UDA - Trojan Horse Traffic,Medium,Host 192.168.10.73 shows port scan detected communication with 192.168.21.31 over TCP port 53. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,17,5,5,1,TCP,53,1,1,0,3,0,1,0,1,53,0,0,0,0,0
Suspicious DNS Query,High,Host 192.168.11.7 shows uda - trojan horse traffic communication with 192.168.18.13 over TCP port 1492. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated,8,29,1,0,TCP,1492,1,1,0,3,1,0,0,2,1492,1,0,0,0,0
Suspicious DNS Query,Low,Host 192.168.6.236 shows port scan detected communication with 192.168.9.106 over TCP port 3389. Multiple scanning attempts observed.,Legitimate,Reconnaissance,Investigated,22,27,1,0,TCP,3389,1,1,0,3,0,1,0,0,3389,1,0,0,0,0
UDA - Trojan Horse Traffic,High,Host 192.168.15.196 shows uda - trojan horse traffic communication with 192.168.3.185 over UDP port 22. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,19,36,4,0,UDP,22,1,1,0,3,1,0,0,2,22,1,0,0,0,0
Suspicious DNS Query,Medium,Host 192.168.11.115 shows unauthorized access attempt communication with 192.168.14.172 over UDP port 443. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated,6,3,2,0,UDP,443,1,1,0,3,0,0,1,1,443,0,0,0,0,0
Port Scan Detected,High,Host 192.168.4.104 shows uda - trojan horse traffic communication with 192.168.29.189 over TCP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,5,20,5,1,TCP,53,1,1,0,3,1,0,0,2,53,0,1,0,0,0
Anomalous SSH Activity,Low,Host 192.168.10.150 shows unauthorized access attempt communication with 192.168.21.129 over UDP port 8080. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated,11,10,5,1,UDP,8080,1,1,0,3,0,0,1,0,8080,0,0,0,0,0
UDA - Trojan Horse Traffic,Critical,Host 192.168.11.253 shows port scan detected communication with 192.168.8.222 over UDP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,17,59,2,0,UDP,5900,1,1,0,3,0,1,0,3,5900,1,0,0,0,0
Malware Beaconing,Critical,Host 192.168.5.139 shows anomalous ssh activity communication with 192.168.20.250 over UDP port 53. ,Malicious,Policy Violation,Escalated,3,40,2,0,UDP,53,1,1,0,1,0,0,1,3,53,0,1,0,0,0
Malware Beaconing,Medium,Host 192.168.17.45 shows uda - trojan horse traffic communication with 192.168.24.208 over ICMP port 1492. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated,13,35,6,1,ICMP,1492,1,1,0,3,1,0,0,1,1492,1,0,0,0,0
Data Exfiltration Pattern,Low,Host 192.168.2.20 shows unauthorized access attempt communication with 192.168.12.71 over TCP port 443. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated,19,53,3,0,TCP,443,1,1,0,3,0,0,1,0,443,0,0,0,0,0
Port Scan Detected,Critical,Host 192.168.20.102 shows brute force attempt communication with 192.168.11.216 over TCP port 80. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,22,11,1,0,TCP,80,1,1,0,1,0,1,0,3,80,0,0,0,0,0
Anomalous SSH Activity,Low,Host 192.168.23.7 shows malware beaconing communication with 192.168.24.120 over ICMP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,6,37,6,1,ICMP,53,1,1,0,3,1,0,0,0,53,0,0,0,0,0
Brute Force Attempt,Critical,Host 192.168.15.210 shows suspicious dns query communication with 192.168.4.196 over UDP port 80. ,Malicious,False Positive,Closed,4,18,0,0,UDP,80,1,1,0,0,0,0,0,3,80,0,1,0,0,0
Port Scan Detected,Low,Host 192.168.5.99 shows anomalous ssh activity communication with 192.168.11.246 over ICMP port 8080. ,Legitimate,Policy Violation,Escalated,5,36,2,0,ICMP,8080,1,1,0,1,0,0,1,0,8080,0,1,0,0,0
UDA - Trojan Horse Traffic,Critical,Host 192.168.28.189 shows port scan detected communication with 192.168.25.193 over UDP port 443. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,19,47,2,0,UDP,443,1,1,0,3,0,1,0,3,443,0,0,0,0,0
Data Exfiltration Pattern,Low,Host 192.168.30.236 shows unauthorized access attempt communication with 192.168.14.203 over ICMP port 3389. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated,19,50,1,0,ICMP,3389,1,1,0,3,0,0,1,0,3389,1,0,0,0,0
Brute Force Attempt,High,Host 192.168.27.124 shows port scan detected communication with 192.168.16.168 over TCP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,14,9,2,0,TCP,5900,1,1,0,3,0,1,0,2,5900,1,0,0,0,0
Brute Force Attempt,Low,Host 192.168.5.254 shows port scan detected communication with 192.168.10.158 over TCP port 443. Multiple scanning attempts observed.,Legitimate,Reconnaissance,Investigated,6,41,3,0,TCP,443,1,1,0,3,0,1,0,0,443,0,0,0,0,0
Anomalous SSH Activity,Low,Host 192.168.18.185 shows brute force attempt communication with 192.168.21.163 over UDP port 80. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated,23,52,6,1,UDP,80,1,1,0,1,0,1,0,0,80,0,0,0,0,0
UDA - Trojan Horse Traffic,Low,Host 192.168.8.111 shows port scan detected communication with 192.168.23.97 over UDP port 80. Multiple scanning attempts observed.,Legitimate,Reconnaissance,Investigated,14,13,4,0,UDP,80,1,1,0,3,0,1,0,0,80,0,0,0,0,0
Suspicious DNS Query,High,Host 192.168.3.81 shows unauthorized access attempt communication with 192.168.10.28 over ICMP port 1492. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated,1,9,2,0,ICMP,1492,1,1,0,3,0,0,1,2,1492,1,1,0,0,0
Data Exfiltration Pattern,High,Host 192.168.3.79 shows data exfiltration pattern communication with 192.168.29.155 over UDP port 3389. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated,14,2,3,0,UDP,3389,1,1,0,1,1,0,0,2,3389,1,0,0,0,0
Unauthorized Access Attempt,Critical,Host 192.168.18.171 shows data exfiltration pattern communication with 192.168.9.100 over TCP port 1492. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked,20,58,1,0,TCP,1492,1,1,0,1,1,0,0,3,1492,1,0,0,0,0
Port Scan Detected,Critical,Host 192.168.3.209 shows data exfiltration pattern communication with 192.168.23.3 over ICMP port 5900. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked,0,27,2,0,ICMP,5900,1,1,0,1,1,0,0,3,5900,1,1,0,0,0
Suspicious DNS Query,Low,Host 192.168.9.248 shows port scan detected communication with 192.168.13.218 over UDP port 443. Multiple scanning attempts observed.,Legitimate,Reconnaissance,Investigated,22,13,2,0,UDP,443,1,1,0,3,0,1,0,0,443,0,0,0,0,0
Suspicious DNS Query,High,Host 192.168.18.70 shows port scan detected communication with 192.168.3.72 over UDP port 22. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,10,54,2,0,UDP,22,1,1,0,3,0,1,0,2,22,1,0,0,0,0
UDA - Trojan Horse Traffic,High,Host 192.168.23.211 shows uda - trojan horse traffic communication with 192.168.16.66 over TCP port 3389. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,18,20,3,0,TCP,3389,1,1,0,3,1,0,0,2,3389,1,0,0,0,0
Unauthorized Access Attempt,Low,Host 192.168.12.54 shows uda - trojan horse traffic communication with 192.168.26.61 over ICMP port 443. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated,13,37,1,0,ICMP,443,1,1,0,3,1,0,0,0,443,0,0,0,0,0
Port Scan Detected,Critical,Host 192.168.10.14 shows uda - trojan horse traffic communication with 192.168.2.57 over ICMP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,13,41,2,0,ICMP,53,1,1,0,3,1,0,0,3,53,0,0,0,0,0
Port Scan Detected,Medium,Host 192.168.23.245 shows data exfiltration pattern communication with 192.168.13.136 over ICMP port 1492. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated,14,21,0,0,ICMP,1492,1,1,0,1,1,0,0,1,1492,1,0,0,0,0
Malware Beaconing,Critical,Host 192.168.4.3 shows anomalous ssh activity communication with 192.168.2.90 over TCP port 53. ,Malicious,Policy Violation,Escalated,23,19,6,1,TCP,53,1,1,0,1,0,0,1,3,53,0,0,0,0,0
Unauthorized Access Attempt,Medium,Host 192.168.12.25 shows data exfiltration pattern communication with 192.168.1.236 over TCP port 80. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated,15,10,4,0,TCP,80,1,1,0,1,1,0,0,1,80,0,0,0,0,0
Port Scan Detected,High,Host 192.168.30.195 shows data exfiltration pattern communication with 192.168.7.88 over TCP port 443. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked,16,25,2,0,TCP,443,1,1,0,1,1,0,0,2,443,0,0,0,0,0
Port Scan Detected,Medium,Host 192.168.30.184 shows port scan detected communication with 192.168.12.45 over ICMP port 443. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,23,55,0,0,ICMP,443,1,1,0,3,0,1,0,1,443,0,0,0,0,0
Malware Beaconing,High,Host 192.168.3.195 shows uda - trojan horse traffic communication with 192.168.28.146 over UDP port 5900. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated,19,14,5,1,UDP,5900,1,1,0,3,1,0,0,2,5900,1,0,0,0,0
Anomalous SSH Activity,Medium,Host 192.168.27.188 shows data exfiltration pattern communication with 192.168.26.98 over TCP port 3389. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated,7,41,3,0,TCP,3389,1,1,0,1,1,0,0,1,3389,1,0,0,0,0
Port Scan Detected,High,Host 192.168.14.26 shows malware beaconing communication with 192.168.13.105 over ICMP port 1492. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,1,25,5,1,ICMP,1492,1,1,0,3,1,0,0,2,1492,1,1,0,0,0
Anomalous SSH Activity,High,Host 192.168.23.136 shows brute force attempt communication with 192.168.12.2 over ICMP port 1492. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,12,43,6,1,ICMP,1492,1,1,0,1,0,1,0,2,1492,1,0,0,0,0
Malware Beaconing,Critical,Host 192.168.7.36 shows brute force attempt communication with 192.168.19.57 over UDP port 3389. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,0,32,2,0,UDP,3389,1,1,0,1,0,1,0,3,3389,1,1,0,0,0
Malware Beaconing,High,Host 192.168.23.85 shows brute force attempt communication with 192.168.6.117 over ICMP port 53. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,5,54,6,1,ICMP,53,1,1,0,1,0,1,0,2,53,0,1,0,0,0
Data Exfiltration Pattern,High,Host 192.168.23.10 shows suspicious dns query communication with 192.168.4.249 over ICMP port 22. ,Malicious,False Positive,Closed,23,14,0,0,ICMP,22,1,1,0,0,0,0,0,2,22,1,0,0,0,0
Port Scan Detected,High,Host 192.168.18.146 shows malware beaconing communication with 192.168.3.53 over ICMP port 5900. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated,12,18,1,0,ICMP,5900,1,1,0,3,1,0,0,2,5900,1,0,0,0,0
Anomalous SSH Activity,Low,Host 192.168.14.89 shows unauthorized access attempt communication with 192.168.1.234 over ICMP port 80. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated,22,18,0,0,ICMP,80,1,1,0,3,0,0,1,0,80,0,0,0,0,0
Data Exfiltration Pattern,High,Host 192.168.15.219 shows suspicious dns query communication with 192.168.19.49 over TCP port 1492. ,Malicious,False Positive,Closed,3,28,3,0,TCP,1492,1,1,0,0,0,0,0,2,1492,1,1,0,0,0
Data Exfiltration Pattern,Low,Host 192.168.1.36 shows anomalous ssh activity communication with 192.168.11.8 over UDP port 80. ,Legitimate,Policy Violation,Escalated,1,53,4,0,UDP,80,1,1,0,1,0,0,1,0,80,0,1,0,0,0
UDA - Trojan Horse Traffic,Medium,Host 192.168.3.219 shows brute force attempt communication with 192.168.9.19 over UDP port 8080. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,12,10,6,1,UDP,8080,1,1,0,1,0,1,0,1,8080,0,0,0,0,0
UDA - Trojan Horse Traffic,Low,Host 192.168.4.65 shows suspicious dns query communication with 192.168.23.60 over TCP port 53. ,Legitimate,Benign Activity,No Action Required,13,47,2,0,TCP,53,1,1,0,0,0,0,0,0,53,0,0,0,0,0
Data Exfiltration Pattern,Critical,Host 192.168.22.65 shows anomalous ssh activity communication with 192.168.6.188 over ICMP port 8080. ,Malicious,Policy Violation,Escalated,18,11,4,0,ICMP,8080,1,1,0,1,0,0,1,3,8080,0,0,0,0,0
Brute Force Attempt,Low,Host 192.168.5.185 shows brute force attempt communication with 192.168.28.231 over UDP port 22. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated,17,29,2,0,UDP,22,1,1,0,1,0,1,0,0,22,1,0,0,0,0
Anomalous SSH Activity,Medium,Host 192.168.17.216 shows port scan detected communication with 192.168.28.208 over ICMP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,6,41,6,1,ICMP,5900,1,1,0,3,0,1,0,1,5900,1,0,0,0,0
Data Exfiltration Pattern,Medium,Host 192.168.2.113 shows data exfiltration pattern communication with 192.168.13.122 over TCP port 80. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked,6,8,0,0,TCP,80,1,1,0,1,1,0,0,1,80,0,0,0,0,0
Data Exfiltration Pattern,High,Host 192.168.29.55 shows suspicious dns query communication with 192.168.15.239 over TCP port 443. ,Malicious,False Positive,Closed,15,41,1,0,TCP,443,1,1,0,0,0,0,0,2,443,0,0,0,0,0
Brute Force Attempt,Critical,Host 192.168.6.212 shows port scan detected communication with 192.168.14.116 over ICMP port 8080. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,3,54,0,0,ICMP,8080,1,1,0,3,0,1,0,3,8080,0,1,0,0,0
Port Scan Detected,High,Host 192.168.11.89 shows brute force attempt communication with 192.168.4.246 over UDP port 5900. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,18,26,1,0,UDP,5900,1,1,0,1,0,1,0,2,5900,1,0,0,0,0
Suspicious DNS Query,High,Host 192.168.22.126 shows malware beaconing communication with 192.168.24.54 over ICMP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated,23,6,5,1,ICMP,53,1,1,0,3,1,0,0,2,53,0,0,0,0,0
Brute Force Attempt,Low,Host 192.168.19.178 shows unauthorized access attempt communication with 192.168.17.193 over UDP port 1492. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated,3,24,4,0,UDP,1492,1,1,0,3,0,0,1,0,1492,1,1,0,0,0
UDA - Trojan Horse Traffic,Medium,Host 192.168.6.20 shows brute force attempt communication with 192.168.10.167 over TCP port 5900. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,23,39,3,0,TCP,5900,1,1,0,1,0,1,0,1,5900,1,0,0,0,0
Anomalous SSH Activity,Low,Host 192.168.11.125 shows data exfiltration pattern communication with 192.168.2.240 over TCP port 53. Possible data exfiltration pattern detected.,Malicious,Malware,Blocked,15,5,1,0,TCP,53,1,1,0,1,1,0,0,0,53,0,0,0,0,0
Data Exfiltration Pattern,Critical,Host 192.168.10.182 shows uda - trojan horse traffic communication with 192.168.11.124 over TCP port 1492. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,7,26,4,0,TCP,1492,1,1,0,3,1,0,0,3,1492,1,0,0,0,0
Anomalous SSH Activity,Critical,Host 192.168.24.101 shows unauthorized access attempt communication with 192.168.27.230 over UDP port 22. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated,2,58,1,0,UDP,22,1,1,0,3,0,0,1,3,22,1,1,0,0,0
Malware Beaconing,Critical,Host 192.168.10.42 shows anomalous ssh activity communication with 192.168.11.174 over ICMP port 5900. ,Malicious,Policy Violation,Escalated,0,3,2,0,ICMP,5900,1,1,0,1,0,0,1,3,5900,1,1,0,0,0
Data Exfiltration Pattern,High,Host 192.168.30.225 shows suspicious dns query communication with 192.168.9.102 over ICMP port 3389. ,Malicious,False Positive,Closed,16,2,2,0,ICMP,3389,1,1,0,0,0,0,0,2,3389,1,0,0,0,0
Unauthorized Access Attempt,Medium,Host 192.168.10.115 shows brute force attempt communication with 192.168.30.13 over ICMP port 5900. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,15,29,4,0,ICMP,5900,1,1,0,1,0,1,0,1,5900,1,0,0,0,0
Data Exfiltration Pattern,Critical,Host 192.168.5.56 shows port scan detected communication with 192.168.21.194 over ICMP port 443. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,16,48,2,0,ICMP,443,1,1,0,3,0,1,0,3,443,0,0,0,0,0
Malware Beaconing,Medium,Host 192.168.19.199 shows suspicious dns query communication with 192.168.25.124 over UDP port 443. ,Malicious,False Positive,Closed,8,2,2,0,UDP,443,1,1,0,0,0,0,0,1,443,0,0,0,0,0
Malware Beaconing,High,Host 192.168.17.248 shows uda - trojan horse traffic communication with 192.168.23.97 over UDP port 5900. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,0,27,1,0,UDP,5900,1,1,0,3,1,0,0,2,5900,1,1,0,0,0
Port Scan Detected,High,Host 192.168.22.196 shows anomalous ssh activity communication with 192.168.30.167 over UDP port 53. ,Malicious,Policy Violation,Escalated,12,44,4,0,UDP,53,1,1,0,1,0,0,1,2,53,0,0,0,0,0
Port Scan Detected,Low,Host 192.168.19.219 shows brute force attempt communication with 192.168.13.126 over UDP port 3389. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated,23,46,0,0,UDP,3389,1,1,0,1,0,1,0,0,3389,1,0,0,0,0
Anomalous SSH Activity,High,Host 192.168.9.142 shows port scan detected communication with 192.168.15.83 over UDP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,19,50,6,1,UDP,5900,1,1,0,3,0,1,0,2,5900,1,0,0,0,0
Unauthorized Access Attempt,High,Host 192.168.16.209 shows suspicious dns query communication with 192.168.11.151 over UDP port 8080. ,Malicious,False Positive,Closed,22,37,2,0,UDP,8080,1,1,0,0,0,0,0,2,8080,0,0,0,0,0
Port Scan Detected,Critical,Host 192.168.1.249 shows suspicious dns query communication with 192.168.3.209 over TCP port 1492. ,Malicious,False Positive,Closed,1,27,2,0,TCP,1492,1,1,0,0,0,0,0,3,1492,1,1,0,0,0
UDA - Trojan Horse Traffic,Critical,Host 192.168.23.55 shows malware beaconing communication with 192.168.30.20 over ICMP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,12,34,5,1,ICMP,53,1,1,0,3,1,0,0,3,53,0,0,0,0,0
Anomalous SSH Activity,Low,Host 192.168.27.50 shows brute force attempt communication with 192.168.18.147 over ICMP port 1492. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated,7,20,3,0,ICMP,1492,1,1,0,1,0,1,0,0,1492,1,0,0,0,0
Data Exfiltration Pattern,High,Host 192.168.29.140 shows anomalous ssh activity communication with 192.168.9.238 over UDP port 22. ,Malicious,Policy Violation,Escalated,4,3,6,1,UDP,22,1,1,0,1,0,0,1,2,22,1,1,0,0,0
Unauthorized Access Attempt,Critical,Host 192.168.5.172 shows unauthorized access attempt communication with 192.168.8.197 over ICMP port 53. Unauthorized access attempt detected.,Malicious,Policy Violation,Escalated,5,43,6,1,ICMP,53,1,1,0,3,0,0,1,3,53,0,1,0,0,0
Brute Force Attempt,Medium,Host 192.168.4.26 shows brute force attempt communication with 192.168.28.221 over ICMP port 53. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,12,33,5,1,ICMP,53,1,1,0,1,0,1,0,1,53,0,0,0,0,0
Suspicious DNS Query,Low,Host 192.168.3.63 shows brute force attempt communication with 192.168.29.205 over TCP port 80. Brute force behavior observed.,Legitimate,Reconnaissance,Investigated,12,26,4,0,TCP,80,1,1,0,1,0,1,0,0,80,0,0,0,0,0
Data Exfiltration Pattern,Critical,Host 192.168.13.72 shows port scan detected communication with 192.168.29.127 over TCP port 5900. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,19,33,2,0,TCP,5900,1,1,0,3,0,1,0,3,5900,1,0,0,0,0
Unauthorized Access Attempt,High,Host 192.168.6.166 shows port scan detected communication with 192.168.17.26 over UDP port 8080. Multiple scanning attempts observed.,Malicious,Reconnaissance,Investigated,9,17,5,1,UDP,8080,1,1,0,3,0,1,0,2,8080,0,0,0,0,0
Unauthorized Access Attempt,Low,Host 192.168.23.189 shows unauthorized access attempt communication with 192.168.18.247 over TCP port 22. Unauthorized access attempt detected.,Legitimate,Policy Violation,Escalated,2,22,3,0,TCP,22,1,1,0,3,0,0,1,0,22,1,1,0,0,0
Data Exfiltration Pattern,High,Host 192.168.1.84 shows data exfiltration pattern communication with 192.168.6.13 over TCP port 3389. Possible data exfiltration pattern detected.,Malicious,Malware,Escalated,3,21,6,1,TCP,3389,1,1,0,1,1,0,0,2,3389,1,1,0,0,0
Anomalous SSH Activity,Medium,Host 192.168.13.144 shows anomalous ssh activity communication with 192.168.8.30 over UDP port 5900. ,Malicious,Policy Violation,Escalated,11,4,0,0,UDP,5900,1,1,0,1,0,0,1,1,5900,1,0,0,0,0
Data Exfiltration Pattern,High,Host 192.168.16.247 shows suspicious dns query communication with 192.168.3.102 over ICMP port 3389. ,Malicious,False Positive,Closed,19,37,1,0,ICMP,3389,1,1,0,0,0,0,0,2,3389,1,0,0,0,0
Port Scan Detected,High,Host 192.168.26.115 shows uda - trojan horse traffic communication with 192.168.26.142 over ICMP port 22. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,13,27,4,0,ICMP,22,1,1,1,3,1,0,0,2,22,1,0,0,0,0
Suspicious DNS Query,Low,Host 192.168.16.43 shows malware beaconing communication with 192.168.5.57 over ICMP port 3389. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated,16,29,3,0,ICMP,3389,1,1,0,3,1,0,0,0,3389,1,0,0,0,0
Unauthorized Access Attempt,High,Host 192.168.4.180 shows uda - trojan horse traffic communication with 192.168.2.254 over TCP port 443. Possible trojan or malware beaconing detected.,Malicious,Malware,Blocked,14,58,4,0,TCP,443,1,1,0,3,1,0,0,2,443,0,0,0,0,0
Malware Beaconing,Critical,Host 192.168.16.102 shows anomalous ssh activity communication with 192.168.9.53 over ICMP port 22. ,Malicious,Policy Violation,Escalated,4,44,5,1,ICMP,22,1,1,0,1,0,0,1,3,22,1,1,0,0,0
Port Scan Detected,Medium,Host 192.168.6.202 shows anomalous ssh activity communication with 192.168.9.156 over TCP port 53. ,Malicious,Policy Violation,Escalated,8,54,4,0,TCP,53,1,1,0,1,0,0,1,1,53,0,0,0,0,0
Suspicious DNS Query,High,Host 192.168.16.217 shows uda - trojan horse traffic communication with 192.168.27.29 over TCP port 53. Possible trojan or malware beaconing detected.,Malicious,Malware,Escalated,23,8,5,1,TCP,53,1,1,0,3,1,0,0,2,53,0,0,0,0,0
Unauthorized Access Attempt,Medium,Host 192.168.5.96 shows anomalous ssh activity communication with 192.168.10.26 over TCP port 80. ,Malicious,Policy Violation,Escalated,21,2,3,0,TCP,80,1,1,0,1,0,0,1,1,80,0,0,0,0,0
Brute Force Attempt,High,Host 192.168.10.63 shows brute force attempt communication with 192.168.29.83 over TCP port 8080. Brute force behavior observed.,Malicious,Reconnaissance,Investigated,10,35,5,1,TCP,8080,1,1,0,1,0,1,0,2,8080,0,0,0,0,0
